Kaina	Miestas	Rajonas	M2K	M2Vid	Gr4	Kamb	Tipas	Fizine	Remontas	Sodai	Ireng	Irengtumas	Statyba	Stat	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	AtsInt	Baldai	Metai	Nuoroda	Skelbimas
1110000	Vilnius	Bajorai	2534.246575	3308.456215	3	9	Namas	4	Nereikia	0	3	Irengtas	Nenauja	0	Murinis	Murinis	438	10.5	11	3	0	1996	http://www.aruodas.lt/namas/vilniuje/parduodamas-dvieju-aukstu-su-mansarda-namas-bajoru/2-219572	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor2.htm
750000	Vilnius	Bajorai	2884.615385	3308.456215	3	5	Namas	3	Reikia	1	1	Neirengtas	Nauja	1	Murinis	Blokinis	260	7	10.5	3	0	2009	http://www.aruodas.lt/namas/vilniuje/parduodamas-keiciamas-i-buta-su-priemoka-naujas/2-205838	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor3.htm
970000	Vilnius	Bajorai	4663.461538	3308.456215	3	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Murinis	208	6	11.7	3	0	2008	http://www.aruodas.lt/namas/vilniuje/parduodamas-puikus-sublokuotas-namas-strategiskai/2-243254	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor4.htm
490000	Vilnius	Bajorai	3550.724638	3308.456215	3	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Murinis	138	2.84	10.5	3	1	2007	http://www.aruodas.lt/namas/vilniuje/parduodamas-4-kambariu-sublokuotas-murinis-kotedza/2-232038	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor7.htm
920000	Vilnius	Bajorai	4554.455446	3308.456215	3	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Murinis	202	13.4	11.8	3	0	2007	http://www.aruodas.lt/namas/vilniuje/parduodamas-27-m-statybos-22-kv-m-namas-baj/2-239120	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor10.htm
649000	Vilnius	Bajorai	3245	3308.456215	3	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	1	Murinis	Murinis	200	8	10.4	3	0	2008	http://www.aruodas.lt/namas/vilniuje/155m2-gyvenamo-ploto-2-aukstu-namas-su-atskiru-25/2-239224	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor11.htm
719000	Vilnius	Bajorai	3344.186047	3308.456215	3	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	215	6	11.7	3	0	2007	http://www.aruodas.lt/namas/vilniuje/parduodamas-labai-gerai-irengtas-dvieju-galu-namas/2-239464?Aruodas=aef9015p34qd2vhfr0410elsn5	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor12.htm
615000	Vilnius	Bajorai	2562.5	3308.456215	3	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Blokinis	240	7	11.7	3	0	2010	http://www.aruodas.lt/namas/vilniuje/namasvilnaus-raj-bajoruose-smelio-g-2-a-mu/2-243809	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor14.htm
629000	Vilnius	Bajorai	3418.478261	3308.456215	3	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	184	6	11	3	0	2008	http://www.aruodas.lt/namas/vilniuje/parduodamas-namas-su-daugiau-negu-daline-apdaila-l/2-244507	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor15.htm
690000	Vilnius	Bajorai	4058.823529	3308.456215	3	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Blokinis	170	9	8.32	2	1	2004	http://www.aruodas.lt/namas/vilniuje/parduodamas-labai-jaukus-ir-ekonomiskas-pilnai-ir/2-244708	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor16.htm
