Kaina	Miestas	Rajonas	Raj	Raj2	Rajvid	Kamb	Tipas	Fizine	Remontas	Sodai	Ir	Irengtumas	Statyba	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	Pastatymo metai	Nuoroda	Skelbimas
579000	Vilnius	Zemieji Paneriai	1	1		6	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Murinis	199	3	9	2010	http://www.aruodas.lt/namas/vilniuje/siam-objektui-taikomos-spec-kreditavimo-salygos/2-242214	file:///C:/Users/Dovile/Desktop/Namai/51.htm
198000	Vilnius	Zemieji Paneriai	1	1		3	Kotedzas	2	Nereikia	0	3	Árengtas	Nenauja	Murinis	Murinis	88	9	11	1940	http://www.aruodas.lt/namas/vilniuje/parduodamas-namo-dalis-vilniuje-baravyku-g-rastin/2-228105	file:///C:/Users/Dovile/Desktop/Namai/52.htm
120000	Vilnius	Salininkai	1	1		4	Namas	3	Reikia	1	2	Árengtas	Nauja	Murinis	Murinis	98	3	14	2009	http://www.aruodas.lt/namas/vilniuje/parduodamas-sodo-namas-salininkuose-sodu-bendrija/2-240135	file:///C:/Users/Dovile/Desktop/Namai/53.htm
600000	Vilnius	Salininkai	1	1		5	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Blokinis	143	6	12	2008	http://www.aruodas.lt/namas/vilniuje/2-239245	file:///C:/Users/Dovile/Desktop/Namai/54.htm
510000	Vilnius	Salininkai	1	1		5	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	236	6	12	2005	http://www.aruodas.lt/namas/vilniuje/parduodamas-238-kvm-namas-su-6-a-sklypu-salinin/2-242589	file:///C:/Users/Dovile/Desktop/Namai/55.htm
95000	Vilnius	Salininkai	1	1		2	Namas	1	Reikia	1	2	Árengtas	Nenauja	Murinis	Murinis	70	3	14	1989	http://www.aruodas.lt/namas/vilniuje/parduodamas-1-auksto-su-mansarda-murinis-7-kvm/2-242918	file:///C:/Users/Dovile/Desktop/Namai/57.htm
490000	Vilnius	Antakalnis	2	1		5	Namas	3	Reikia	1	1	Neárengtas	Nauja	Murinis	Murinis	180	8	6	2009	http://www.skelbiu.lt/skelbimai/parduodu-nama-antakalnyje-pragiedruliu-g-uz-11765943.html	file:///C:/Users/Dovile/Desktop/Namai/58.html
299000	Vilnius	Salininkai	1	1		5	Namas	1	Reikia	0	2	Árengtas	Nenauja	Murinis	Murinis	130	5	12	1990	http://www.aruodas.lt/namas/vilniuje/parduodamas-murinis-namas-salininkuose-pardu/2-239605	file:///C:/Users/Dovile/Desktop/Namai/59.htm
400000	Vilnius	Salininkai	1	1		4	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	155	8	12	2004	http://www.aruodas.lt/namas/vilniuje/adresas-salininkai-vilniaus-m-sav-sb-zibute-b/2-237493	file:///C:/Users/Dovile/Desktop/Namai/60.htm
650000	Vilnius	Traku Voke	2	1		4	Namas	4	Reikia	0	2	Irengtas	Nauja	Murinis	Murinis	251	17	15	2011	http://www.aruodas.lt/namas/vilniuje/parduodamas-25111-kvm-kokybiskomis-medziagomis-i/2-242235	file:///C:/Users/Dovile/Desktop/Namai/73.htm
610000	Vilnius	Filaretai	2	1		7	Namas	1	Reikia	0	2	Árengtas	Nenauja	Murinis	Murinis	290	18	8	1981	http://www.skelbiu.lt/skelbimai/parduodamas-namas-ant-kalvos-labai-parduodamas-12352984.html	file:///C:/Users/Dovile/Desktop/Namai/67.html
380000	Vilnius	Pagiriai	2	1		5	Namas	3	Reikia	0	1	Dalinai árengtas	Nauja	Murinis	Murinis	190	8	16	2009	http://www.skelbiu.lt/skelbimai/parduodamas-kokybiskos-statybos-parduodamas-12352896.html	file:///C:/Users/Dovile/Desktop/Namai/68.html
399000	Vilnius	Pavilnys	1	1		4	Namas	3	Reikia	1	1	Neárengtas	Nauja	Murinis	Blokinis	150	6	10	2009	http://www.skelbiu.lt/skelbimai/parduodamas-namas-pavilnyje-guriu-parduodamas-12353169.html	file:///C:/Users/Dovile/Desktop/Namai/64.html
849000	Vilnius	Grigiskes	3	2		5	Namas	2	Nereikia	0	3	Árengtas	Nenauja	Murinis	Murinis	200	14	16	1997	http://www.skelbiu.lt/skelbimai/parduodamas-irengtas-2-a-180-kv-parduodamas-12353164.html	file:///C:/Users/Dovile/Desktop/Namai/65.html
265000	Vilnius	Zemieji Paneriai	1	1		3	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Blokinis	165	1	9	2009	http://www.skelbiu.lt/skelbimai/parduodamas-naujas-irengtas-parduodamas-naujas-12353122.html	file:///C:/Users/Dovile/Desktop/Namai/66.html
530000	Vilnius	Tarande	1	1		3	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	170	7,5	13	2006	http://www.aruodas.lt/namas/vilniuje/parduodama-puse-namoantras-aukstas-atskiri-ieji/2-241405	file:///C:/Users/Dovile/Desktop/Namai/75.htm
550000	Vilnius	Pagiriai	2	1		5	Namas	2	Nereikia	0	3	Árengtas	Nenauja	Murinis	Murinis	300	30	16	1995	http://www.aruodas.lt/namas/vilniuje/parduodamas-jaukus-namas-pagiriuose-3-kvm-s/2-239897	file:///C:/Users/Dovile/Desktop/Namai/77.htm
395000	Vilnius	Balsiai	1	1		6	Kotedzas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Murinis	151	2	13	2011	http://www.skelbiu.lt/skelbimai/brandaus-pusyno-apsuptyje-parduodu-151-kv-m-12547429.html	file:///C:/Users/Dovile/Desktop/Namai/78.htm
300000	Vilnius	Bajorai	2	1		5	Namas	1	Reikia	0	2	Árengtas	Nenauja	Murinis	Murinis	160	8	12	1980	http://www.aruodas.lt/namas/vilniuje/parduodamas-namas-bajoruose-16-kvm-sklypo-plo/2-235152	file:///C:/Users/Dovile/Desktop/Namai/80.htm
700000	Vilnius	Balsiai	1	1		4	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	120	6	13	2009	http://www.aruodas.lt/namas/vilniuje/namas-randasi-bireliuose-name-irengtas-geotermini/2-241118	file:///C:/Users/Dovile/Desktop/Namai/81.htm
1050000	Vilnius	Zverynas	4	3		4	Kotedzas	2	Nereikia	0	3	Árengtas	Nenauja	Murinis	Murinis	104	3	4	1963	http://www.skelbiu.lt/skelbimai/parduodamas-kotedzas-namo-dalis-parduodamas-12352775.html	file:///C:/Users/Dovile/Desktop/Namai/41.html
629000	Vilnius	Naujoji Vilnia	2	1		6	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	250	13	10	2007	http://www.aruodas.lt/namas/vilniuje/parduodamas-puikus-namas-naujojoje-vilnioje-vide/2-217758	file:///C:/Users/Dovile/Desktop/Namai/83.htm
315000	Vilnius	Naujoji Vilnia	2	1		5	Namas	3	Reikia	1	1	Dalinai árengtas	Nauja	Murinis	Blokinis	162	6	10	2008	http://www.aruodas.lt/namas/vilniuje/is-fibo-bloku-gelzbetonines-pertvarosplastikinia/2-120308	file:///C:/Users/Dovile/Desktop/Namai/82.htm
680000	Vilnius	Grigiskes	3	2		5	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	137	5	16	2005	http://www.aruodas.lt/namas/vilniuje/parduodamas-25m-statybos-gyvenamasis-namas-pi/2-243387	file:///C:/Users/Dovile/Desktop/Namai/84.htm
725000	Vilnius	Dvarcionys	2	1		4	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	217	8	10	2007	http://www.aruodas.lt/namas/vilniuje/-parduodamas-jaukus-naujos-statybos-kokybiskomi/2-243338	file:///C:/Users/Dovile/Desktop/Namai/85.htm
899999	Vilnius	Kalnenai	2	1		5	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Murinis	263	10	6	2011	http://www.aruodas.lt/namas/vilniuje/apie-nama-parduodamas-erdvus-ir-siuolaikiskas-2-6/2-243185	file:///C:/Users/Dovile/Desktop/Namai/86.htm
720000	Vilnius	Kalnenai	2	1		6	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Murinis	214	6	6	2010	http://www.aruodas.lt/namas/vilniuje/pilna-daline-apdaila-214-kvm-namas-atskira-val/2-243149	file:///C:/Users/Dovile/Desktop/Namai/87.htm
950000	Vilnius	Pavilnys	1	1		2	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	383	12	10	2011	http://www.aruodas.lt/namas/vilniuje/parduodamas-38319-kv-m-bendro-ploto-namas-paviln/2-244801	
360000	Vilnius	Tarande	1	1		4	Kotedzas	3	Reikia	0	1	Dalinai árengtas	Nauja	Murinis	Murinis	153	3	13	2011	http://www.aruodas.lt/namas/vilniuje/tarandes-kotedzai-projektas-skirtas-zmonems-vert/2-244367	
1444000	Vilnius	Antakalnis	2	1		5	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	250	4	4	2009	http://www.aruodas.lt/namas/vilniuje/parduodamas-5-kambariu-25-kvm-namas-dailidziu/2-230773	
499000	Vilnius	Pavilnys	1	1		6	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	205	6	8	2008	http://www.manobustas.lt/skelbimai/namai/vilniuje/pavilnyje/namas-2887.html	
999999	Vilnius	Pavilnys	1	1		4	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Murinis	240	7	10	2009	http://www.skelbiu.lt/skelbimai/vilnius-pavilnys-namas-modernioje-gyvenvieteje-12458994.html	
600000	Vilnius	Salininkai	1	1		5	Kotedþas	3	Reikia	0	3	Árengtas	Nauja	Murinis	Murinis	143	6	12	2008	http://www.skelbiu.lt/skelbimai/vilnius-informacija-apie-nama-nauja-statyba-12343059.html	
3900000	Vilnius	Zverynas	4	3		7	Namas	4	Nereikia	0	4	Árengtas	Nauja	Murinis	Murinis	587	9	2	2000	http://www.skelbiu.lt/skelbimai/namas-vilniuje-12414986.html	
930000	Vilnius	Valakampiai	4	3		5	Kotedzas	3	Reikia	0	1	Dalinai árengtas	Nauja	Murinis	Murinis	210	4	8	2011	http://www.skelbiu.lt/skelbimai/ramioje-vietoje-aptvertoje-ramioje-vietoje-12479920.html	
765000	Vilnius	Antakalnis	2	1		6	Namas	3	Reikia	0	1	Dalinai árengtas	Nauja	Murinis	Murinis	216	11	5	2008	http://www.manobustas.lt/skelbimai/namai/vilniuje/antakalnyje/namas-2890.html	
450000	Vilnius	Zirmunai	1	1		4	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	150	6	5	1940	http://www.aruodas.lt/namas/vilniuje/parduodamas-15-kv-m-bendro-ploto-namas-zirmunuos/2-234629	file:///C:/Users/Dovile/Desktop/Namai/88.htm
475000	Vilnius	Salininkai	1	1		4	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Blokinis	143	6	13	2003	http://www.skelbiu.lt/skelbimai/parduodamas-tvarkingas-ir-jaukus-parduodamas-12505704.html	file:///C:/Users/Dovile/Desktop/Namai/89.html
3497000	Vilnius	Snipiskes	3	2		6	Namas	4	Nereikia	0	4	Árengtas	Nauja	Murinis	Blokinis	363	7	3	2006	http://www.skelbiu.lt/skelbimai/parduodamas-naujai-pastatytas-parduodamas-naujai-10016546.html	file:///C:/Users/Dovile/Desktop/Namai/90.html
625000	Vilnius	Visoriai	2	1		4	Kotedzas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	147	1	10	2004	http://www.skelbiu.lt/skelbimai/parduodamas-kotedzas-147-11-kv-m-parduodamas-12265693.html	file:///C:/Users/Dovile/Desktop/Namai/94.html
435000	Vilnius	Balsiai	1	1		5	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Blokinis	160	6	13	2010	http://www.skelbiu.lt/skelbimai/parduodamas-naujas-ir-protingai-parduodamas-11240522.html	file:///C:/Users/Dovile/Desktop/Namai/95.html
