Kaina	Miestas	Raj	Kamb. Sk	Tipas	Remontas	Árengtumas	Nauja statyba ar ne	Mûrinis ar ne	Namo tipas	Namo plotas	Sklypo plotas	Atstumas iki centro (km)	Pastatymo metai
750000	Vilnius	Santariskes	6	Kotedşas	Nereikia	Árengtas	Nenauja	Mûrinis	Mûrinis	333	2	8	1996
300000	Vilnius	Traku Voke	6	Namas	Reikia	Neárengtas	Nauja	Mûrinis	Blokinis	286	10	15	2009
998000	Vilnius	Traku Voke	5	Namas	Nereikia	Árengtas	Nauja	Mûrinis	Blokinis	270	20	15	2007
599999	Vilnius	Visoriai	4	Namas	Nereikia	Árengtas	Nauja	Mûrinis	Blokinis	177	6	10	2008
299000	Vilnius	Traku Voke	4	Namas	Reikia	Neárengtas	Nauja	Mûrinis	Mûrinis	230	15	15	2010
619000	Vilnius	Antakalnis	5	Namas	Nereikia	Árengtas	Nauja	Mûrinis	Blokinis	188	6	7	2007
429000	Vilnius	Aukstieji Paneriai	4	Namas	Reikia	Dalinai árengtas	Nauja	Mûrinis	Blokinis	168	8	14	2011
1580000	Vilnius	Santariskes	5	Kotedşas	Nereikia	Árengtas	Nauja	Mûrinis	Mûrinis	277	4	8	2009
263000	Vilnius	Zemieji Paneriai	4	Kotedşas	Nereikia	Árengtas	Nauja	Mûrinis	Mûrinis	170	6	9	2010
595000	Vilnius	Bajorai	5	Namas	Reikia	Neárengtas	Nauja	Mûrinis	Blokinis	200	7	12	2011
550000	Vilnius	Tarande	4	Kotedşas	Nereikia	Árengtas	Nauja	Mûrinis	Blokinis	270	8	10	2007
265000	Vilnius	Valakampiai	5	Namas	Nereikia	Árengtas	Nenauja	Mûrinis	Mûrinis	125	6	7	1982
599999	Vilnius	Baltupiai	4	Namas	Nereikia	Irengtas	Nauja	Murinis	Murinis	177	6	7	2008
830000	Vilnius	Baltupiai	5	Namas	Nereikia	Irengtas	Nenauja	Murinis	Murinis	204	3	6	1992
1200000	Vilnius	Baltupiai	4	Kotedzas	Nereikia	Irengtas	Nauja	Murinis	Murinis	20	4	6	2000
590000	Vilnius	Dvarcionys	5	Namas	Nereikia	Irengtas	Nenauja	Murinis	Murinis	250	11	10	1997
480000	Vilnius	Dvarcionys	5	Namas	Nereikia	Irengtas	Nenauja	Murinis	Murinis	205	9	10	1992
109000	Vilnius	Snipiskes	3	Namas	Reikia	Irengtas	Nenauja	Nemûrinis	Medinis	54	2	3	1940
450000	Vilnius	Snipiskes	2	Namas	Reikia	Irengtas	Nenauja	Nemûrinis	Medinis	29	2	3	1940
830000	Vilnius	Senamiestis	5	Namas	Nereikia	Irengtas	Nauja	Murinis	Murinis	144	2	2	2003
140000	Vilnius	Senamiestis	5	Kotedzas	Nereikia	Irengtas	Nenauja	Murinis	Murinis	113	4	2	1940
3459000	Vilnius	Senamiestis	10	Namas	Nereikia	Irengtas	Nauja	Murinis	Murinis	411	3	2	2007
269000	Vilnius	Verkiai	3	Kotedzas	Reikia	Dalinai irengtas	Nauja	Murinis	Murinis	88	2	9	2011
1580000	Vilnius	Verkiai	5	Kotedzas	Nereikia	Irengtas	Nauja	Murinis	Murinis	277	4	9	2009
815000	Vilnius	Vilkpede	8	Kotedzas	Nereikia	Irengtas	Nauja	Murinis	Murinis	260	6	5	2000
250000	Vilnius	Zirmunai	1	Kotedzas	Nereikia	Irengtas	Nenauja	Nemurinis	Medinis	30	2	5	1933
545000	Vilnius	Pagiriai	5	Namas	Nereikia	Irengtas	Nenauja	Murinis	Murinis	300	30	18	1995
699000	Vilnius	Pagiriai	6	Namas	Reikia	Neirengtas	Nauja	Murinis	Murinis	250	15	18	2010
490000	Vilnius	Kalnenai	5	Kotedzas	Reikia	Neirengtas	Nauja	Murinis	Murinis	143	4	6	2010
1250000	Vilnius	Snipiskes	5	Namas	Nereikia	Irengtas	Nauja	Murinis	Murinis	294	7	3	2008
459000	Vilnius	Filaretai	9	Namas	Reikia	Irengtas	Nenauja	Nemurinis	Medinis	145	6	8	1940
799000	Vilnius	Zujunai	5	Namas	Reikia	Neirengtas	Nauja	Murinis	Murinis	242	8	11	2009
517000	Vilnius	Zujunai	5	Namas	Nereikia	Irengtas	Nenauja	Murinis	Murinis	233	20	11	1990
440000	Vilnius	Kalnenai	5	Namas	Reikia	Neirengtas	Nauja	Murinis	Murinis	182	5	6	2011
