Kaina;Miestas;Rajonas;Kamb. Sk;Tipas;Remontas;Árengtumas;Nauja statyba ar ne;Mûrinis ar ne;Namo tipas;Namo plotas;Sklypo plotas;Atstumas iki centro (km);Pastatymo metai;Nuoroda;Skelbimas
600000;Vilnius;Bajorai;4;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Blokinis;190;6;11;2008;http://www.skelbiu.lt/skelbimai/parduodamas-2008-m-statybos-parduodamas-2008-m-11639973.html;file:///C:/Users/Dovile/Desktop/Namai/29.html
660000;Vilnius;Visoriai;4;Kotedþas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;172;3;10;2009;http://www.skelbiu.lt/skelbimai/2009-m-statybos-2009-m-statybos-irengtas-kotedzas-12223910.html;file:///C:/Users/Dovile/Desktop/Namai/30.html
650000;Vilnius;Antakalnis;6;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;192;6;11;2007;http://www.skelbiu.lt/skelbimai/vilnius-namo-tipas-murinis-irengimas-pilnai-12342875.html;file:///C:/Users/Dovile/Desktop/Namai/31.html
390000;Vilnius;Didþioji Rieðë;4;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Blokinis;162;6;15;2008;http://www.skelbiu.lt/skelbimai/parduodamas-namas-parduodamas-namas-rieses-sen-12341322.html;file:///C:/Users/Dovile/Desktop/Namai/32.html
499000;Vilnius;Vilkpëdë;5;Namas;Nereikia;Árengtas;Nenauja;Mûrinis;Mûrinis;303;11;9;1989;http://www.skelbiu.lt/skelbimai/parduodamas-namas-su-sklypu-parduodamas-namas-su-12189654.html;file:///C:/Users/Dovile/Desktop/Namai/33.html
698000;Vilnius;Sudervës k.;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;261;12;20;2008;http://www.skelbiu.lt/skelbimai/parduodamas-261-kv-m-namas-parduodamas-261-kv-m-12255421.html;file:///C:/Users/Dovile/Desktop/Namai/34.html
1379000;Vilnius;Þvërynas;4;Kotedþas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;133;3;3;2007;http://www.aruodas.lt/namas/vilniuje/parduodamas-pilnai-irengtas-kotedzas-zveryne-lenk/2-243016;file:///C:/Users/Dovile/Desktop/Namai/36.htm
700000;Vilnius;Þvërynas;3;Kotedþas;Reikia;Árengtas;Nenauja;Mûrinis;Mûrinis;79;3;4;1970;http://www.aruodas.lt/namas/vilniuje/parduodu-3-kambariu-73-kvm-buta-nuosavo-murinio/2-241464;file:///C:/Users/Dovile/Desktop/Namai/37.htm
3500000;Vilnius;Þvërynas;7;Namas;Nereikia;Árengtas;Nenauja;Mûrinis;Mûrinis;360;6;3;1997;http://www.aruodas.lt/namas/vilniuje/puikus-namas-su-baseinu-pirtimi-garazu-dviem-aut/2-242593;file:///C:/Users/Dovile/Desktop/Namai/38.htm
459000;Vilnius;Didþioji Rieðë;4;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Blokinis;166;7;18;2011;http://www.skelbiu.lt/skelbimai/parduodamas-naujas-jaukus-parduodamas-naujas-12206363.html;file:///C:/Users/Dovile/Desktop/Namai/39.html
